Index,Character
0,爱
1,好
2,八
3,爸
4,吧
5,白
6,形
7,天
8,百
9,班
10,半
11,年
12,帮
13,忙
14,包
15,子
16,杯
17,北
18,边
19,京
20,本
21,量
22,比
23,别
24,副
25,的
26,人
27,病
28,不
29,大
30,对
31,客
32,气
33,用
34,菜
35,茶
36,差
37,常
38,唱
39,歌
40,车
41,票
42,上
43,站
44,吃
45,饭
46,出
47,来
48,去
49,穿
50,床
51,次
52,从
53,错
54,打
55,动
56,电
57,话
58,开
59,球
60,学
61,生
62,到
63,得
64,地
65,等
66,点
67,方
68,图
69,弟
70,第
71,二
72,脑
73,视
74,机
75,影
76,院
77,东
78,西
79,作
80,都
81,读
82,书
83,起
84,多
85,代
86,少
87,饿
88,儿
89,店
90,房
91,间
92,放
93,假
94,飞
95,非
96,分
97,名
98,风
99,干
100,净
101,什
102,么
103,高
104,兴
105,告
106,诉
107,哥
108,个
109,给
110,跟
111,工
112,关
113,贵
114,国
115,家
116,外
117,过
118,还
119,是
120,有
121,孩
122,汉
123,语
124,字
125,看
126,听
127,玩
128,号
129,喝
130,和
131,很
132,后
133,花
134,坏
135,回
136,答
137,会
138,火
139,场
140,鸡
141,蛋
142,几
143,记
144,住
145,里
146,见
147,面
148,教
149,叫
150,楼
151,姐
152,介
153,绍
154,今
155,进
156,九
157,就
158,觉
159,笑
160,考
161,试
162,渴
163,课
164,文
165,口
166,块
167,快
168,老
169,师
170,了
171,累
172,冷
173,两
174,数
175,零
176,六
177,下
178,路
179,妈
180,马
181,吗
182,买
183,慢
184,毛
185,没
186,系
187,事
188,妹
189,门
190,们
191,朋
192,友
193,米
194,条
195,明
196,拿
197,哪
198,些
199,那
200,奶
201,男
202,南
203,难
204,呢
205,能
206,你
207,您
208,牛
209,女
210,旁
211,跑
212,七
213,汽
214,前
215,钱
216,请
217,问
218,坐
219,热
220,认
221,识
222,真
223,日
224,期
225,肉
226,三
227,山
228,商
229,网
230,午
231,谁
232,身
233,体
234,十
235,时
236,候
237,手
238,树
239,水
240,果
241,睡
242,说
243,四
244,送
245,岁
246,他
247,她
248,太
249,写
250,同
251,馆
252,晚
253,忘
254,我
255,五
256,洗
257,喜
258,欢
259,雨
260,先
261,现
262,在
263,想
264,小
265,谢
266,新
267,星
268,行
269,休
270,息
271,习
272,校
273,要
274,爷
275,也
276,页
277,一
278,衣
279,服
280,医
281,样
282,右
283,元
284,远
285,月
286,再
287,早
288,怎
289,找
290,这
291,着
292,正
293,知
294,道
295,中
296,重
297,准
298,备
299,桌
300,走
301,最
302,昨
303,左
304,做
