Index,Character,Level
0,爱,1
1,好,1
2,八,1
3,爸,1
4,吧,1
5,白,1
6,形,1
7,天,1
8,百,1
9,班,1
10,半,1
11,年,1
12,帮,1
13,忙,1
14,包,1
15,子,1
16,杯,1
17,北,1
18,边,1
19,京,1
20,本,1
21,量,1
22,比,1
23,别,1
24,副,1
25,的,1
26,人,1
27,病,1
28,不,1
29,大,1
30,对,1
31,客,1
32,气,1
33,用,1
34,菜,1
35,茶,1
36,差,1
37,常,1
38,唱,1
39,歌,1
40,车,1
41,票,1
42,上,1
43,站,1
44,吃,1
45,饭,1
46,出,1
47,来,1
48,去,1
49,穿,1
50,床,1
51,次,1
52,从,1
53,错,1
54,打,1
55,动,1
56,电,1
57,话,1
58,开,1
59,球,1
60,学,1
61,生,1
62,到,1
63,得,1
64,地,1
65,等,1
66,点,1
67,方,1
68,图,1
69,弟,1
70,第,1
71,二,1
72,脑,1
73,视,1
74,机,1
75,影,1
76,院,1
77,东,1
78,西,1
79,作,1
80,都,1
81,读,1
82,书,1
83,起,1
84,多,1
85,代,1
86,少,1
87,饿,1
88,儿,1
89,店,1
90,房,1
91,间,1
92,放,1
93,假,1
94,飞,1
95,非,1
96,分,1
97,名,1
98,风,1
99,干,1
100,净,1
101,什,1
102,么,1
103,高,1
104,兴,1
105,告,1
106,诉,1
107,哥,1
108,个,1
109,给,1
110,跟,1
111,工,1
112,关,1
113,贵,1
114,国,1
115,家,1
116,外,1
117,过,1
118,还,1
119,是,1
120,有,1
121,孩,1
122,汉,1
123,语,1
124,字,1
125,看,1
126,听,1
127,玩,1
128,号,1
129,喝,1
130,和,1
131,很,1
132,后,1
133,花,1
134,坏,1
135,回,1
136,答,1
137,会,1
138,火,1
139,场,1
140,鸡,1
141,蛋,1
142,几,1
143,记,1
144,住,1
145,里,1
146,见,1
147,面,1
148,教,1
149,叫,1
150,楼,1
151,姐,1
152,介,1
153,绍,1
154,今,1
155,进,1
156,九,1
157,就,1
158,觉,1
159,笑,1
160,考,1
161,试,1
162,渴,1
163,课,1
164,文,1
165,口,1
166,块,1
167,快,1
168,老,1
169,师,1
170,了,1
171,累,1
172,冷,1
173,两,1
174,数,1
175,零,1
176,六,1
177,下,1
178,路,1
179,妈,1
180,马,1
181,吗,1
182,买,1
183,慢,1
184,毛,1
185,没,1
186,系,1
187,事,1
188,妹,1
189,门,1
190,们,1
191,朋,1
192,友,1
193,米,1
194,条,1
195,明,1
196,拿,1
197,哪,1
198,些,1
199,那,1
200,奶,1
201,男,1
202,南,1
203,难,1
204,呢,1
205,能,1
206,你,1
207,您,1
208,牛,1
209,女,1
210,旁,1
211,跑,1
212,七,1
213,汽,1
214,前,1
215,钱,1
216,请,1
217,问,1
218,坐,1
219,热,1
220,认,1
221,识,1
222,真,1
223,日,1
224,期,1
225,肉,1
226,三,1
227,山,1
228,商,1
229,网,1
230,午,1
231,谁,1
232,身,1
233,体,1
234,十,1
235,时,1
236,候,1
237,手,1
238,树,1
239,水,1
240,果,1
241,睡,1
242,说,1
243,四,1
244,送,1
245,岁,1
246,他,1
247,她,1
248,太,1
249,写,1
250,同,1
251,馆,1
252,晚,1
253,忘,1
254,我,1
255,五,1
256,洗,1
257,喜,1
258,欢,1
259,雨,1
260,先,1
261,现,1
262,在,1
263,想,1
264,小,1
265,谢,1
266,新,1
267,星,1
268,行,1
269,休,1
270,息,1
271,习,1
272,校,1
273,要,1
274,爷,1
275,也,1
276,页,1
277,一,1
278,衣,1
279,服,1
280,医,1
281,样,1
282,右,1
283,元,1
284,远,1
285,月,1
286,再,1
287,早,1
288,怎,1
289,找,1
290,这,1
291,着,1
292,正,1
293,知,1
294,道,1
295,中,1
296,重,1
297,准,1
298,备,1
299,桌,1
300,走,1
301,最,1
302,昨,1
303,左,1
304,做,1
305,啊,2
306,爱,2
307,情,2
308,人,2
309,安,2
310,静,2
311,全,2
312,白,2
313,色,2
314,班,2
315,长,2
316,办,2
317,法,2
318,公,2
319,室,2
320,半,2
321,夜,2
322,帮,2
323,助,2
324,饱,2
325,报,2
326,名,2
327,纸,2
328,北,2
329,方,2
330,背,2
331,动,2
332,比,2
333,如,2
334,说,2
335,笔,2
336,记,2
337,本,2
338,必,2
339,须,2
340,边,2
341,变,2
342,成,2
343,遍,2
344,表,2
345,示,2
346,不,2
347,错,2
348,但,2
