Index,Chinese,Pingyin,English
1, 啊, a, auxiliary word
2, 爱情, àiqíng, Love
3, 爱人, ài rén, lover
4, 安静, ānjìng, Be quiet
5, 安全, ānquán, security
6, 白色, bái sè, white
7, 班长, bān zhǎng, monitor; squad leader
8, 办, bàn, do
9, 办法, bànfǎ, Way
10, 办公室, bàngōngshì, Office
11, 半夜, bàn yè, midnight
12, 帮助, bāngzhù, Help
13, 饱, bǎo, full
14, 报名, bàomíng, sign up
15, 报纸, bàozhǐ, Newspaper
16, 北方, běifāng, north
17, 背（动）, bēi, carry on the back; shoulder
18, 比如, bǐrú, such as
19, 比如说, bǐ rú shuō, for example
20, 笔, bǐ, pen
22, 笔记本, bǐjìběn, Notebook
23, 必须, bìxū, Must
24, 边, biān, side
25, 变, biàn, change
26, 变成, biàn chéng, become; change into
27, 遍, biàn, Times
28, 表, biǎo, watch
29, 表示, biǎoshì, Express
30, 不错, bú cuò, not bad; pretty good
31, 不但, bú dàn, not only
32, 不够, bú gòu, not enough
33, 不过, búguò, However
34, 不太, bú tài, not too; not very much
35, 不要, bú yào, don't
36, 不好意思, bù hǎo yì sī, sorry; feel embarrassed
37, 不久, bù jiǔ, soon
38, 不满, bù mǎn, dissatisfied
39, 不如, bùrú, not as good as
40, 不少, bù shǎo, not a few; a lot
41, 不同, bù tóng, different
42, 不行, bù xíng, no way; be out of the question
44, 不一会儿, bù yī huìr, in a moment; in a little while;
45, 部分, bùfen, Part
46, 才（副）, cái, only; just
47, 菜单, càidān, menu
48, 参观, cānguān, visit
49, 参加, cānjiā, participate in
50, 草, cǎo, grass
51, 草地, cǎo dì, grass; lawn
52, 层, céng, layer
53, 查, chá, search; check
54, 差不多, chàbuduō, Almost
55, 长, cháng, long
56, 常见, cháng jiàn, common
57, 常用, cháng yòng, in common use
58, 场, chǎng, site
59, 超过, chāoguò, Exceed
60, 超市, chāoshì, Supermarket
61, 车辆, chē liàng, car; vehicle
62, 称¹（动）, chēng, call; say
63, 成（动）, chéng, become; finish
65, 成为, chéngwéi, Become
66, 重复, chóngfù, repeat
67, 重新, chóngxīn, again
68, 出发, chūfā, Set out
69, 出国, chū guó, go abroad
70, 出口（名）, chū kǒu, export
71, 出门, chū mén, go out
72, 出生, chūshēng, Birth
73, 出现, chūxiàn, Appear
74, 出院, chū yuàn, discharged; leave hospital
75, 出租, chū zū, rent
76, 出租车, chūzūchē, Taxi
77, 船, chuán, ship
78, 吹, chuī, blow
79, 春节, chūn jié, Spring Festival; Chinese New
80, 春天, chūn tiān, spring
81, 词, cí, word
82, 词典, cídiǎn, Dictionary
83, 词语, cíyǔ, terms
84, 从小, cóng xiǎo, from childhood
86, 打工, dǎgōng, Work
87, 打算, dǎsuàn, Plan
88, 打印, dǎyìn, Print
89, 大部分, dà bù fèn, most
90, 大大, dà dà, greatly; enormously
91, 大多数, dà duō shù, most; great majority
92, 大海, dà hǎi, sea
93, 大家, dàjiā, everybody
94, 大量, dà liàng, a lot of; lots of
95, 大门, dà mén, door; gate
96, 大人, dà rén, adult
97, 大声, dà shēng, loud
98, 大小, dà xiǎo, size
99, 大衣, dà yī, overcoat
100, 大自然, dà zì rán, nature
101, 带, dài, belt
102, 带来, dài lái, bring
103, 单位, dānwèi, Company
104, 但, dàn, but; however
105, 但是, dàn shì, but; however
106, 蛋, dàn, egg
108, 当时, dāngshí, at that time
109, 倒, dǎo," fall, topple, fail"
110, 到处, dàochù, everywhere
111, 倒, dào," inverted, reverse"
112, 道, dào, road; way; path
113, 道理, dàolǐ, truth
114, 道路, dào lù, road; way; path
115, 得, dé, get
116, 得出, dé chū, obtain results; reach conclusion
117, 的话, de huà, if
118, 得, de, auxiliary verb
119, 灯, dēng, lamp
120, 等（助、名）, děng, etc.; and so on
121, 等到, děng dào, wait until; by the time
122, 等于, děngyú, Be equal to
123, 低, dī, low
124, 地球, dìqiú, earth
125, 地铁, dìtiě, metro
126, 地铁站, dì tiě zhàn, subway station
127, 点头, diǎn tóu, nod
128, 店, diàn, shop; store
130, 东北, dōng běi, northeast
131, 东方, dōng fāng, east
132, 东南, dōng nán, southeast
133, 冬天, dōng tiān, winter
134, 懂, dǒng, understand
135, 懂得, dǒng de, know; understand; comprehend
136, 动物, dòngwù, Animal
137, 动物园, dòng wù yuán, zoo
138, 读音, dú yīn, pronunciation
139, 度, dù, degree; limit
140, 短, duǎn, short
141, 短信, duǎnxìn, message
142, 段, duàn, paragraph
143, 队, duì, team
144, 队长, duì zhǎng, team leader; captain
145, 对（介、动）, duì, to; at; face; be opposite; answer
146, 对话, duìhuà, dialogue
147, 对面, duìmiàn, Opposite side
148, 多（副）, duō, much more; far more
149, 多久, duō jiǔ, how long
150, 多么, duōme, what
152, 多云, duō yún, cloudy
153, 而且, ér qiě, and
154, 发, fā, send out
155, 发现, fāxiàn, find
156, 饭馆, fàn guǎn, restaurant
157, 方便, fāngbiàn, convenient
158, 方便面, fāng biàn miàn, Instant noodles
159, 方法, fāngfǎ, Method
160, 方面, fāngmiàn, Aspect
161, 方向, fāngxiàng, direction
162, 放下, fàng xià, put down; lay down; drop
163, 放心, fàngxīn, Don't worry
164, 分（动）, fēn, divide; part; distribute
165, 分开, fēn kāi, separate; part
166, 分数, fēn shù, score; mark; fraction
167, 分钟, fēnzhōng, Minute
168, 份, fèn, share
169, 封（量）, fēng, (measure word)
170, 服务, fú wù, service
171, 复习, fùxí, Review
172, 该（动）, gāi, deserve; should; owe
174, 改变, gǎibiàn, change
175, 干杯, gānbēi, Cheers!
176, 感到, gǎn dào, feel; sense
177, 感动, gǎndòng, Be moved
178, 感觉, gǎnjué, feel
179, 感谢, gǎnxiè, Thank
180, 干活儿, gànhuór, work on a job
181, 刚, gāng, just
182, 刚才, gāngcái, just
183, 刚刚, gāng gāng, just; only; just a moment ago
184, 高级, gāojí, senior
185, 高中, gāo zhōng, senior high school
186, 个子, gèzi, Height
187, 更, gèng, more
188, 公共汽车, gōnggòngqìchē, Bus
189, 公交车, gōng jiāo chē, bus
190, 公斤, gōngjīn, Kg.
191, 公里, gōnglǐ, kilometre
192, 公路, gōng lù, highway; highroad
193, 公平, gōngpíng, fair
195, 公园, gōngyuán, Park
196, 狗, gǒu, Dog
197, 够, gòu, enough
198, 故事, gùshi, Story
199, 故意, gùyì, deliberately
200, 顾客, gùkè, customer
201, 关机, guān jī, shutdown
202, 关心, guānxīn, Care for
203, 观点, guāndiǎn, viewpoint
204, 广场, guǎngchǎng, square
205, 广告, guǎnggào, Advertisement
206, 国际, guójì, international
207, 过来, guò lái, come; come over
208, 过年, guò nián, celebrate the New Year
209, 过去（动）, guò qù, go over; pass by
210, 过, guò, cross; pass; spend; live
211, 海, hǎi, sea
212, 海边, hǎi biān, seaside
213, 喊, hǎn, shout
214, 好（副）, hǎo, well; fine; okay
215, 好处, hǎochu, benefit
217, 好久, hǎo jiǔ, for a long time; long
218, 好人, hǎo rén, good person
219, 好事, hǎo shì, good deed; good thing
220, 好像, hǎoxiàng, Be like
221, 合适, héshì, appropriate
222, 河, hé, river
223, 黑, hēi, black
224, 黑板, hēibǎn, blackboard
225, 黑色, hēi sè, black
226, 红, hóng, red
227, 红色, hóng sè, red
228, 后来, hòulái, later
229, 忽然, hūrán, suddenly
230, 湖, hú, lake
231, 护照, hùzhào, passport
232, 花（动）, huā, spend; expend
233, 花园, huā yuán, garden
234, 画, huà, painting
235, 画家, huà jiā, painter; artist
236, 画儿, huàr, painting; drawing
237, 坏处, huài chù, disadvantage; harm
239, 欢迎, huānyíng, Welcome
240, 换, huàn, change
241, 黄, huáng, yellow
242, 黄色, huáng sè, yellow
243, 回（量）, huí, (measure word)
244, 回国, huí guó, return home from abroad
245, 会（名）, huì, meeting; gathering; conference;
246, 活动, huódòng, activity
247, 或, huò, or
248, 或者, huòzhě, perhaps
249, 机会, jīhuì, Opportunity
250, 鸡, jī, chicken
251, 级, jí, level; rank; grade; degree; step
252, 急, jí, fast; anxious; urgent; annoyed
253, 计划, jìhuà, plan
254, 计算机, jì suàn jī, computer
255, 加, jiā, add; increase; put in
256, 加油, jiā yóu, oil; refuel; make an all -out
257, 家（科学家）, jiā, noun suffix (scientist)
259, 家长, jiā zhǎng, parent; the head of the family
260, 假, jiǎ, false
261, 假期, jià qī, holiday; vacation
262, 检查, jiǎnchá, inspect; check
263, 见到, jiàn dào, see
264, 见过, jiàn guò, seen; have seen
265, 件, jiàn, piece
266, 健康, jiànkāng, Healthy
267, 讲, jiǎng, speak
268, 讲话, jiǎng huà, speak; talk
269, 交, jiāo, hand over
270, 交给, jiāo gěi, hand over
271, 交朋友, jiāo péng yǒu, make friends
272, 交通, jiāotōng, traffic
273, 角, jiǎo, horn
274, 角度, jiǎodù, angle
275, 饺子, jiǎozi, Dumplings
276, 脚, jiǎo, foot
277, 叫作, jiào zuò, be called; be known as
278, 教师, jiào shī, teacher
279, 教室, jiàoshì, Classroom
281, 教育, jiàoyù, education
282, 接, jiē, meet， pick
283, 接到, jiē dào, receive
284, 接受, jiēshòu, accept
285, 接下来, jiē xià lái, next
286, 接着, jiēzhe, Next
287, 街, jiē, street
288, 节（名、量）, jié, festival; holiday; joint; (measure
289, 节目, jiémù, program
290, 节日, jiérì, festival
291, 结果, jiéguǒ, Result
292, 借, jiè, borrow
293, 斤, jīn, a unit of weight (=1/2 kilogram)
294, 今后, jīn hòu, from now on; in the future
295, 进入, jìn rù, enter; go in; join
296, 进行, jìnxíng, Conduct
297, 近, jìn, near
298, 经常, jīngcháng, Often
299, 经过, jīngguò," after, through"
300, 经理, jīnglǐ, manager
302, 酒店, jiǔ diàn, hotel
303, 就要, jiù yào, be going to; be about to
304, 举, jǔ, lift
305, 举手, jǔ shǒu, raise one's hand or hands
306, 举行, jǔxíng, hold
307, 句, jù, sentence
308, 句子, jùzi, sentence
