Index,Character
0545,疼
1762,沿
0379,头
1058,既
1148,战
0835,胜
1158,未
0979,折
1200,综
0142,几
0327,成
0351,绩
1410,洒
0130,和
1622,箭
0477,拉
1254,击
0947,默
0221,识
0432,换
1032,构
1130,申
0519,楚
0337,定
1369,诊
1709,亡
1518,波
1411,杀
0058,开
1279,享
0986,袋
1328,剪
1680,炮
0430,画
1542,镇
1103,述
1609,衡
0546,提
0984,替
0431,迎
0551,完
0977,雷
1396,枪
1033,购
1097,轮
0429,照
1695,壮
1107,浓
1350,朗
0378,铁
1303,籍
1056,即
0797,命
1284,辅
1319,灾
0830,沙
1402,域
1594,孤
1044,毫
0858,危
1288,搞
0956,寸
0817,切
0982,陆
1012,翻
0953,惊
1270,吨
1777,扎
1478,谊
1685,坡
0043,站
0644,立
1563,端
0751,设
1686,扑
1164,咸
0505,碰
0847,糖
0461,酒
0829,散
0934,擦
0038,唱
1251,聪
0989,淡
0052,从
0954,迟
1274,繁
1785,忠
1653,赖
1761,循
1477,豫
1730,讯
0232,身
0722,哈
1623,械
1513, 
0626,补
1455,艳
1079,递
0902,阿
0563,相
0841,首
1797,祖
0657,约
1404,乏
0854,突
0306,情
0413,狗
0708,民
1701,渠
1450,卧
0965,户
0263,想
0906,暗
1349,烂
0369,带
1650,扣
0700,速
0650,传
0686,否
0622,演
1560,跌
0061,生
0923,迫
1152,袜
0359,节
1021,俗
1071,居
1081,矿
0257,喜
0241,睡
0371,当
0120,有
1740,威
1304,敏
1734,吞
1381,喷
0580,阴
0620,达
0106,诉
0222,真
0042,上
0208,牛
1572,凡
0806,胖
1031,供
1296,键
1747,牲
0073,视
1252,脆
1525,仓
0504,排
1050,疑
0055,动
0394,便
0897,抓
0702,性
0342,观
0210,旁
0244,送
1580,峰
0550,腿
0289,找
0627,充
1290,壁
0779,浪
1002,肚
0822,缺
0135,回
0198,些
0286,再
1222,博
1498,醉
0773,绝
0025,的
1150,投
0595,确
1705,若
0640,架
1177,严
1218,饼
1339,烤
1207,版
1585,肝
0506,篇
1790,宅
0573,药
0951,担
0894,至
0613,证
0392,而
1627,予
0633,彩
1768,憾
0383,物
0081,读
1778,债
1217,宾
0672,顿
0919,密
0493,绿
0520,晴
0089,店
1005,恶
1015,松
0948,赞
1108,培
1371,仿
0147,面
1334,届
1656,牢
1631,监
1332,触
1795,咨
1215,幕
1556,滴
1463,欣
1484,摘
0414,故
1011,律
0396,心
1558,抗
1679,泡
0254,我
0065,等
0518,清
0172,冷
1294,励
0040,车
1238,倡
0671,象
0242,说
0077,东
1521,踩
1204,摩
1315,恢
0924,笨
0247,她
0046,出
0259,雨
0284,远
1702,券
0020,本
0292,正
0873,需
0480,王
0707,资
1275,荣
0592,脏
1151,透
1749,锋
0938,操
0851,舞
1448,委
1489,执
1346,控
0032,气
1180,腰
1036,瓜
0362,应
0092,放
1330,郊
1214,彼
0009,班
1437,锁
0810,啤
0128,号
0764,历
0542,论
0304,做
0865,香
1256,胆
0927,免
0557,叹
1166,县
1183,遗
1082,泉
1310,胡
0807,批
0916,薄
1442,厌
1526,藏
1517,拨
0343,加
0588,愿
1599,阔
0003,爸
0878,羊
0029,大
1070,镜
0136,答
1193,阵
0733,极
1019,奋
0450,脚
1266,丢
1583,苏
0030,对
1114,企
1574,犯
0267,星
1698,倾
0801,农
1744,乌
0920,守
0949,诚
1724,趟
0059,球
0196,拿
0265,谢
0731,器
1717,爽
1154,络
0317,助
0035,茶
0088,儿
1751,耗
1010,官
0677,式
1281,狂
0745,价
0614,被
0087,饿
1633,剑
0653,村
0960,奖
1704,乳
1202,慰
0090,房
1365,矛
0026,人
1568,怒
1541,诺
1614,患
0338,部
0564,响
0273,要
1380,赔
0330,示
1440,逃
1264,震
1516,扁
0549,推
0576,般
0486,凉
0913,裹
0409,交
1539,撤
0866,蕉
1094,粮
0191,朋
0932,兵
0287,早
0754,易
1672,墨
1353,梨
1534,昌
0663,待
1735,拖
0007,天
0445,康
0899,转
0628,光
1359,邻
0469,克
0508,片
0467,怕
0641,衬
1670,膜
0560,澡
0333,意
0385,音
0837,石
0356,船
1454,吓
1451,污
1209,棒
1779,账
1587,岗
0018,边
1231,叉
1712,审
0454,街
0571,睛
0123,语
0988,独
1137,牙
0436,急
0750,建
0511,普
0137,会
1475,尤
1644,井
1608,横
0294,道
0763,济
0744,属
1666,棉
1431,私
1172,寻
0426,忽
0423,黑
1760,液
0561,雪
0734,基
0735,础
1586,杆
0530,使
0973,销
1436,损
