Index,Character
0973,销
1747,牲
0785,社
0162,渴
1272,躲
0070,第
0247,她
0322,如
1551,忧
1005,恶
1663,梅
1004,炼
1226,猜
1383,肤
1673,墓
0792,每
0554,往
1196,治
0529,食
1720,素
0722,哈
0561,雪
0538,它
0849,整
0495,猫
0613,证
1621,跃
0530,使
1574,犯
1258,熊
1452,奈
1299,泛
0471,堂
1604,湾
0289,找
1562,渡
0892,支
0620,达
1301,柜
0855,土
1487,振
1356,润
1303,籍
0352,为
0551,完
0065,等
1666,棉
0324,必
1481,暂
1242,丑
0251,馆
1594,孤
0611,存
0834,深
0679,止
1767,仪
1596,刮
0029,大
1204,摩
1313,慌
0135,回
1159,无
1255,扰
0660,刀
0593,晨
0767,精
1494,紫
0650,传
0555,味
1752,麦
0382,懂
0173,两
0109,给
0570,眼
0535,虽
1364,骂
1240,池
0692,负
0239,水
0111,工
0843,双
0949,诚
0590,运
0818,况
0023,别
0952,序
1790,宅
1497,织
0518,清
0429,照
1132,诗
0331,但
0188,妹
0727,华
0383,物
0438,划
1516,扁
0591,咱
0210,旁
0220,认
0203,难
0439,油
1620,混
1223,览
1742,炉
0582,英
1734,吞
0483,例
1188,圆
1393,启
0481,离
0514,温
0950,承
1787,粥
0651,创
0939,测
0527,省
1278,析
0599,装
0115,家
0506,篇
0544,特
0350,称
1794,捉
1328,剪
1460,协
1607,狠
1698,倾
0275,也
0344,草
1777,扎
1043,航
0711,古
0342,观
1197,植
0482,礼
0887,泳
0332,够
1096,列
0124,字
0543,套
1125,森
0049,穿
1314,灰
0426,忽
0701,迷
1504,傍
1054,伴
0893,职
1165,著
1512,奔
1788,诸
1387,拼
1766,贯
0233,体
0078,西
0904,矮
1757,凶
0414,故
0073,视
1586,杆
0069,弟
1023,妇
1319,灾
1646,援
0778,困
0976,案
0450,脚
0846,汤
1441,桃
1422,惠
0936,财
1192,召
0076,院
1506,歉
0938,操
1674,粉
1287,琴
0781,似
1605,洋
1151,透
1336,拒
1249,闯
0706,具
1587,岗
0030,对
